column_name,original,cleaned
PAST_NAME,Schoolhouse FFR ,Schoolhouse FFR
PAST_NAME,Schoolhouse FFR ,Schoolhouse FFR
PAST_NAME,Schoolhouse FFR ,Schoolhouse FFR
