metric_id,dataset,field_name
95,outputs/riverscapes_metrics.gpkg/impacts_dgo,land_use_intens
96,outputs/riverscapes_metrics.gpkg/impacts_dgo,road_dist
97,outputs/riverscapes_metrics.gpkg/impacts_dgo,rail_dist
98,outputs/riverscapes_metrics.gpkg/impacts_dgo,div_dist
99,outputs/riverscapes_metrics.gpkg/impacts_dgo,canal_dist
100,outputs/riverscapes_metrics.gpkg/impacts_dgo,infra_dist
101,outputs/riverscapes_metrics.gpkg/impacts_dgo,fldpln_access
102,outputs/riverscapes_metrics.gpkg/impacts_dgo,access_fldpln_extent
103,outputs/riverscapes_metrics.gpkg/veg_dgo,ex_riparian
104,outputs/riverscapes_metrics.gpkg/veg_dgo,hist_riparian
105,outputs/riverscapes_metrics.gpkg/veg_dgo,prop_riparian
106,outputs/riverscapes_metrics.gpkg/veg_dgo,hist_prop_riparian
108,outputs/riverscapes_metrics.gpkg/veg_dgo,ag_conversion
109,outputs/riverscapes_metrics.gpkg/veg_dgo,develop
110,outputs/riverscapes_metrics.gpkg/veg_dgo,grass_shrub_conversion
111,outputs/riverscapes_metrics.gpkg/veg_dgo,conifer_encroachment
112,outputs/riverscapes_metrics.gpkg/veg_dgo,invasive_conversion
113,outputs/riverscapes_metrics.gpkg/veg_dgo,riparian_condition
114,outputs/riverscapes_metrics.gpkg/beaver_dgo,brat_complex_size
115,outputs/riverscapes_metrics.gpkg/beaver_dgo,brat_hist_complex_size
116,outputs/riverscapes_metrics.gpkg/beaver_dgo,brat_risk
117,outputs/riverscapes_metrics.gpkg/beaver_dgo,brat_opportunity
118,outputs/riverscapes_metrics.gpkg/beaver_dgo,brat_limitation
119,outputs/riverscapes_metrics.gpkg/beaver_dgo,brat_complex_size
120,outputs/riverscapes_metrics.gpkg/beaver_dgo,brat_hist_complex_size
121,outputs/riverscapes_metrics.gpkg/beaver_dgo,dam_setting
