VegetationID,EpochID,Name,DefaultSuitability,LandUseID,Physiognomy,Notes
-9999,1,No Data,0,,,
11,2,Open Water,4,,,Test
12,2,PerennialIce/Snow,0,,,
31,2,Barren-Rock/Sand/Clay,0,,,
381,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
383,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
384,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
385,2,North American Warm Desert Sparsely Vegetated Systems,0,,,
386,2,Western Great Plains Shortgrass Prairie,1,,,
387,2,Western Great Plains Foothill and Piedmont Grassland,1,,,
388,2,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,1,,,
389,2,Southern Colorado Plateau Sand Shrubland,0,,,
390,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
391,2,Rocky Mountain Lower Montane-Foothill Shrubland,3,,,
392,2,Apacherian-Chihuahuan Mesquite Upland Scrub,0,,,
393,2,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,1,,,
394,2,Colorado Plateau Blackbrush-Mormon-tea Shrubland,0,,,
395,2,Mojave Mid-Elevation Mixed Desert Scrub,0,,,
396,2,Southern Rocky Mountain Montane-Subalpine Grassland,1,,,
397,2,Sonora-Mojave Semi-Desert Chaparral,0,,,
398,2,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,0,,,
399,2,Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush,2,,,
400,2,Mojave Mid-Elevation Mixed Desert Scrub,0,,,
401,2,Inter-Mountain Basins Mat Saltbush Shrubland,1,,,
402,2,Apacherian-Chihuahuan Mesquite Upland Scrub,0,,,
403,2,Colorado Plateau Mixed Low Sagebrush Shrubland,2,,,
404,2,Colorado Plateau Blackbrush-Mormon-tea Shrubland,0,,,
405,2,Sonora-Mojave Semi-Desert Chaparral,0,,,
406,2,Southern Colorado Plateau Sand Shrubland,0,,,
407,2,Apacherian-Chihuahuan Mesquite Upland Scrub,0,,,
408,2,Mediterranean California Sparsely Vegetated Systems,0,,,
409,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
410,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
411,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
412,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
413,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
414,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
415,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
416,2,Rocky Mountain Aspen Forest and Woodland,4,,,
417,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,2,,,
418,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,2,,,
419,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,2,,,
420,2,Northern Rocky Mountain Subalpine Woodland and Parkland,2,,,
421,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2,,,
422,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest - Cedar Groves,3,,,
423,2,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,2,,,
424,2,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,2,,,
425,2,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2,,,
426,2,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,2,,,
427,2,Columbia Plateau Scabland Shrubland,1,,,
428,2,Rocky Mountain Alpine Dwarf-Shrubland,1,,,
429,2,Great Basin Xeric Mixed Sagebrush Shrubland,2,,,
430,2,Inter-Mountain Basins Big Sagebrush Shrubland,2,,,
431,2,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,3,,,
432,2,Inter-Mountain Basins Juniper Savanna,2,,,
433,2,Columbia Plateau Steppe and Grassland,1,,,
434,2,Columbia Plateau Low Sagebrush Steppe,1,,,
435,2,Inter-Mountain Basins Big Sagebrush Steppe,2,,,
436,2,Inter-Mountain Basins Montane Sagebrush Steppe,2,,,
437,2,Inter-Mountain Basins Semi-Desert Shrub-Steppe,1,,,
438,2,Columbia Basin Foothill and Canyon Dry Grassland,1,,,
439,2,Inter-Mountain Basins Semi-Desert Grassland,1,,,
440,2,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,1,,,
441,2,Northern Rocky Mountain Subalpine-Upper Montane Grassland,1,,,
442,2,Columbia Basin Palouse Prairie,1,,,
443,2,Rocky Mountain Subalpine-Montane Mesic Meadow,4,,,
444,2,Inter-Mountain Basins Greasewood Flat,1,,,
445,2,Inter-Mountain Basins Montane Riparian Systems,4,,,
446,2,Rocky Mountain Montane Riparian Systems,4,,,
447,2,Rocky Mountain Subalpine/Upper Montane Riparian Systems,4,,,
448,2,Northern Rocky Mountain Conifer Swamp,4,,,
449,2,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,2,,,
450,2,Rocky Mountain Poor-Site Lodgepole Pine Forest,2,,,
451,2,Inter-Mountain Basins Sparsely Vegetated Systems,0,,,
452,2,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,0,,,
453,2,Northwestern Great Plains Aspen Forest and Parkland,4,,,
454,2,Rocky Mountain Aspen Forest and Woodland,4,,,
455,2,Great Basin Pinyon-Juniper Woodland,2,,,
456,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Ponderosa Pine-Douglas-fir,2,,,
457,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Larch,2,,,
458,2,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest - Grand Fir,2,,,
459,2,Northern Rocky Mountain Subalpine Woodland and Parkland,2,,,
460,2,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,3,,,
