EpochID,Name,Metadata,Notes
1,Landfire 2.2.0 EVT,EX,Landire 2.2.0 Existing Vegetation Type (EVT)
2,Landfire 2.2.0 BPS,HPE,Landfire 2.2.0 Biophysical Setting (BPS)
