EpochID,Name,Metadata,Notes
1,Landfire 2.0.0 EVT,EX,Landire REMAP 2.0 Existing Vegetation Type (EVT)
2,Landfire 2.0.0 BPS,HPE,Landfire REMAP 2.0 Biophysical Setting (BPS)
