VegetationID,Name,Physiognomy,Notes
497,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,
498,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,
499,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,
500,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,
501,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,
502,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,
503,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,
505,Sonoran Mid-Elevation Desert Scrub,Shrubland,
506,Southern Colorado Plateau Sand Shrubland,Shrubland,
508,Great Basin Semi-Desert Chaparral,Shrubland,
510,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,
512,Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrubland,
513,Inter-Mountain Basins Juniper Savanna,Conifer,
516,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
517,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,
518,Inter-Mountain Basins Semi-Desert Grassland,Grassland,
519,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,
520,Inter-Mountain Basins Greasewood Flat,Shrubland,
521,Inter-Mountain Basins Montane Riparian Systems,Riparian,
522,North American Warm Desert Riparian Systems,Riparian,
523,North American Warm Desert Riparian Systems-Stringers,Riparian,
525,North American Warm Desert Sparsely Vegetated Systems,Sparse,
526,Colorado Plateau Pinyon-Juniper Woodland,Conifer,
527,Great Basin Pinyon-Juniper Woodland,Conifer,
528,Madrean Encinal,Conifer,
530,Madrean Pinyon-Juniper Woodland,Conifer,
531,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,
532,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,
533,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,
534,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,
535,Sonora-Mojave Mixed Salt Desert Scrub,Shrubland,
536,Sonoran Granite Outcrop Desert Scrub,Shrubland,
537,Sonoran Mid-Elevation Desert Scrub,Shrubland,
538,Mogollon Chaparral,Shrubland,
539,Sonora-Mojave Semi-Desert Chaparral,Shrubland,
540,Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrubland,
541,Inter-Mountain Basins Juniper Savanna,Conifer,
542,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Grassland,
544,Inter-Mountain Basins Semi-Desert Grassland,Grassland,
545,North American Warm Desert Riparian Systems,Riparian,
546,North American Warm Desert Riparian Systems-Stringers,Riparian,
547,North Pacific Oak Woodland,Hardwood,
548,California Coastal Redwood Forest,Conifer,
549,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,
550,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,
551,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer,
552,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,
553,Mediterranean California Mixed Oak Woodland,Hardwood,
554,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Conifer,
555,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,
556,Mediterranean California Red Fir Forest,Conifer,
557,Mediterranean California Subalpine Woodland,Conifer,
558,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,
560,Northern California Mesic Subalpine Woodland,Conifer,
561,California Maritime Chaparral,Shrubland,
562,California Mesic Chaparral,Shrubland,
563,California Montane Woodland and Chaparral,Shrubland,
564,California Xeric Serpentine Chaparral,Shrubland,
565,Northern and Central California Dry-Mesic Chaparral,Shrubland,
566,California Coastal Live Oak Woodland and Savanna,Hardwood,
567,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Hardwood,
568,Northern California Coastal Scrub,Shrubland,
569,California Mesic Serpentine Grassland,Grassland,
570,California Northern Coastal Grassland,Grassland,
571,Mediterranean California Subalpine Meadow,Grassland,
572,North Pacific Montane Grassland,Grassland,
573,California Montane Riparian Systems,Riparian,
574,Pacific Coastal Marsh Systems,Riparian,
575,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,
576,California Coastal Closed-Cone Conifer Forest and Woodland,Conifer,
577,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
579,Rocky Mountain Aspen Forest and Woodland,Hardwood,
580,Columbia Plateau Western Juniper Woodland and Savanna,Conifer,
581,Great Basin Pinyon-Juniper Woodland,Conifer,
582,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer,
583,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,
584,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer,
585,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,
586,Mediterranean California Mixed Oak Woodland,Hardwood,
587,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Conifer,
588,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,
589,Mediterranean California Red Fir Forest-Cascades,Conifer,
590,Mediterranean California Red Fir Forest-Southern Sierra,Conifer,
591,Mediterranean California Subalpine Woodland,Conifer,
592,Mediterranean California Mesic Serpentine Woodland and Chaparral,Shrubland,
593,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,
594,Northern California Mesic Subalpine Woodland,Conifer,
595,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,
596,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Wet,Conifer,
597,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Dry,Conifer,
598,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,
599,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,
600,Mediterranean California Alpine Fell-Field,Shrubland,
601,Sierra Nevada Alpine Dwarf-Shrubland,Shrubland,
602,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,
604,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,
605,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,
606,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrubland,
607,California Mesic Chaparral,Shrubland,
608,California Montane Woodland and Chaparral,Shrubland,
609,Great Basin Semi-Desert Chaparral,Shrubland,
610,Northern and Central California Dry-Mesic Chaparral,Shrubland,
611,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Hardwood,
612,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
613,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
614,Mediterranean California Alpine Dry Tundra,Grassland,
615,Mediterranean California Subalpine Meadow,Grassland,
616,North Pacific Montane Grassland,Grassland,
617,California Montane Riparian Systems,Riparian,
618,Inter-Mountain Basins Greasewood Flat,Shrubland,
619,Inter-Mountain Basins Montane Riparian Systems,Riparian,
620,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,
621,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,
622,Rocky Mountain Aspen Forest and Woodland,Hardwood,
623,Columbia Plateau Western Juniper Woodland and Savanna,Conifer,
624,Great Basin Pinyon-Juniper Woodland,Conifer,
625,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer,
626,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,
627,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,
628,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Conifer,
629,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Mesic,Conifer,
630,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Xeric,Conifer,
631,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,
632,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,
633,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,
634,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,
635,Columbia Plateau Scabland Shrubland,Shrubland,
636,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,
637,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,
638,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,
639,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,
640,Columbia Plateau Steppe and Grassland,Grassland,
641,Columbia Plateau Low Sagebrush Steppe,Shrubland,
642,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,
643,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,
644,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,
645,Columbia Basin Foothill and Canyon Dry Grassland,Grassland,
646,Inter-Mountain Basins Semi-Desert Grassland,Grassland,
647,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,
648,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,
649,Columbia Basin Palouse Prairie,Grassland,
650,Rocky Mountain Alpine Fell-Field,Grassland,
651,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,
652,Inter-Mountain Basins Greasewood Flat,Shrubland,
653,Inter-Mountain Basins Montane Riparian Systems,Riparian,
